Configuration	STM32F031G4U6
STM32CubeMX 	4.22.0
Date	05/02/2018
MCU	STM32F031G4Ux



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC	IN0	ADC_IN0	PA0
ADC	IN8	ADC_IN8	PB0
I2C1	I2C	I2C1_SCL	PA9
I2C1	I2C	I2C1_SDA	PA10
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PF0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PF1-OSC_OUT
SPI1	Full-Duplex Slave	SPI1_MISO	PA6
SPI1	Full-Duplex Slave	SPI1_MOSI	PA7
SPI1	Full-Duplex Slave	SPI1_SCK	PA5
SPI1	Hardware NSS Input Signal	SPI1_NSS	PA4
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
USART1	Asynchronous	USART1_RX	PA3
USART1	Asynchronous	USART1_TX	PA2
USART1	Hardware Flow Control (RS485)	USART1_DE	PA1



Pin Nb	PINs	FUNCTIONs	LABELs
2	PF0-OSC_IN	RCC_OSC_IN	
3	PF1-OSC_OUT	RCC_OSC_OUT	
6	PA0	ADC_IN0	
7	PA1	USART1_DE	
8	PA2	USART1_TX	
9	PA3	USART1_RX	
10	PA4	SPI1_NSS	
11	PA5	SPI1_SCK	
12	PA6	SPI1_MISO	
13	PA7	SPI1_MOSI	
14	PB0	ADC_IN8	
19	PA9	I2C1_SCL	
20	PA10	I2C1_SDA	
