Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package
1,Unpolarized capacitor,C_Small,C7 C8,0.01uF 50V,C_0603,2,,
2,Unpolarized capacitor,C_Small,C15,0.1uF,C_0805,1,,
3,Unpolarized capacitor,C_Small,C6 C19 C20 C21 C23 C24 C25 C26,0.1uF,C_0603,8,,
4,Unpolarized capacitor,C_Small,C27,0.33uF,C_0603,1,,
5,Unpolarized capacitor,C_Small,C12 C13 C28 C29,100uF,C_1210,4,,
6,Unpolarized capacitor,C,C4 C14,1uF,C_0603,2,,
7,Unpolarized capacitor,C,C1,2.2uF,C_0603,1,,
8,Unpolarized capacitor,C_Small,C2 C3 C9 C10,20uF,C_1210,4,,
9,Unpolarized capacitor,C,C17 C18,3.3uF,C_1812,2,,
10,Unpolarized capacitor,C,C5,3.3uF,C_0603,1,,
11,Unpolarized capacitor,C_Small,C22,4.7uF,C_1812,1,,
12,"Diode, small symbol",D_Small,D1 D2 D3 D4 D8,D_Small,D_SMA,5,,
13,"Diode, small symbol",D_Small,D5,D_Small,D_SOD-323,1,,
14,"LED, small symbol",LED_Small,D6 D7,LED_Small,LED_0603,2,,
15,"Connector, single row, 01x02, pin header",CONN_01X02,J1 J2 J8 J9,CONN_01X02,2x1.5-conn,4,,
16,"Connector, single row, 01x02, pin header",CONN_01X02,J3 J4 J5,CONN_01X02,2x2.1-conn,3,,
17,"Connector, single row, 01x04, pin header",CONN_01X04,J10,CONN_01X04,4x1.5-conn,1,,
18,"Connector, double row, 02x05, pin header",CONN_02X05,J6,CONN_02X05,Pin_Header_Straight_2x05_Pitch1.27mm_SMD,1,,
19,"Connector, double row, 02x10, pin header",CONN_02X10,J7,CONN_02X10,Pin_Header_Straight_2x10_Pitch2.54mm_SMD,1,,
20,"Connector, single row, 01x01, pin header",CONN_01X01,J11,M1,Hole-m3,1,,
21,"Connector, single row, 01x01, pin header",CONN_01X01,J12,M2,Hole-m3,1,,
22,"Connector, single row, 01x01, pin header",CONN_01X01,J13,M3,Hole-m3,1,,
23,"Connector, single row, 01x01, pin header",CONN_01X01,J14,M4,Hole-m3,1,,
24,"Inductor, small symbol",L_Small,L1,15uH,L_10.4x10.4_H4.8,1,,
25,Inductor with Ferrite Core,L_Core_Ferrite,L3,3.3uH 60A,PQ3218‐3R3‐70‐T,1,,
26,"Inductor, small symbol",L_Small,L2,33uH,L_10.4x10.4_H4.8,1,,
27,,PSMN014-40YS,Q1 Q2 Q4,BUK7Y7R8-80EX,PSMN3R3-40YS,3,Good,None
28,"Resistor, small symbol",R_Small,R2 R3,10Ohm,R_0603,2,,
29,"Resistor, small symbol",R_Small,R4 R15 R16 R21,10k,R_0603,4,,
30,"Resistor, small symbol",R_Small,R11,1k,R_0603,1,,
31,"Resistor, small symbol",R_Small,R13,1k 1%,R_0603,1,,
32,"Resistor, small symbol",R_Small,R7,1mOhm,R_2512,1,,
33,"Resistor, small symbol",R_Small,R8,2K,R_0603,1,,
34,"Resistor, small symbol",R_Small,R1,3.3,R_0603,1,,
35,"Resistor, small symbol",R_Small,R6,30K,R_0603,1,,
36,"Resistor, small symbol",R_Small,R10,32k,R_0603,1,,
37,"Resistor, small symbol",R_Small,R5 R19 R20,390,R_0603,3,,
38,"Resistor, small symbol",R_Small,R17,4k,R_0603,1,,
39,"Resistor, small symbol",R_Small,R9,57K,R_0603,1,,
40,"Resistor, small symbol",R_Small,R14,62k 1%,R_0603,1,,
41,"Resistor, small symbol",R_Small,R18,6k,R_0603,1,,
42,,ACS781,U6,ACS781,ACS781,1,,
43,,LM2678,U2,LM2678-12V,14-VSON,1,,
44,,LM2678,U1,LM2678-3.3V,14-VSON,1,,
45,,LM5121,U4,LM5121,HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalPad,1,,
46,,LSM6DS33,U7,LSM6DS33,LGA16R50P3X5_300X300X100,1,,
47,,LTC2876,U9,LTC2876,LTC2876,1,,
48,,LTC2954,U10,LTC2954,8-DFN-DDB,1,,
49,,STM32F031G6U6,U8,STM32F031G6U6,UFQFPN32-small-pad,1,,
50,Three pin ceramic resonator,Resonator_Small,Y1,Resonator_Small,Oscillator,1,,





Component Groups:,50
Component Count:,84
Fitted Components:,84
Number of PCBs:,1
Total components:,84
Schematic Version:,
Schematic Date:,
BoM Date:,16/06/2019 4:05:16 PM
Schematic Source:,C:/_source/dizzyrobot/Electronics/Mainboard/Schematic/Mainboard.sch
KiCad Version:,Eeschema 4.0.6
